"Step","PPO - eval/episode_success","PPO - eval/episode_success__MIN","PPO - eval/episode_success__MAX"
"904000","0.24","0.24","0.24"
"906000","0.32","0.32","0.32"
"908000","0.22","0.22","0.22"
"910000","0.1","0.1","0.1"
"912000","0.16","0.16","0.16"
"914000","0.18","0.18","0.18"
"916000","0.24","0.24","0.24"
"918000","0.18","0.18","0.18"
"920000","0.22","0.22","0.22"
"922000","0.28","0.28","0.28"
"924000","0.16","0.16","0.16"
"926000","0.28","0.28","0.28"
"928000","0.14","0.14","0.14"
"930000","0.26","0.26","0.26"
"932000","0.28","0.28","0.28"
"934000","0.26","0.26","0.26"
"936000","0.18","0.18","0.18"
"938000","0.18","0.18","0.18"
"940000","0.28","0.28","0.28"
"942000","0.26","0.26","0.26"
"944000","0.26","0.26","0.26"
"946000","0.28","0.28","0.28"
"948000","0.24","0.24","0.24"
"950000","0.3","0.3","0.3"
"952000","0.36","0.36","0.36"
"954000","0.24","0.24","0.24"
"956000","0.1","0.1","0.1"
"958000","0.2","0.2","0.2"
"960000","0.22","0.22","0.22"
"962000","0.26","0.26","0.26"
"964000","0.32","0.32","0.32"
"966000","0.14","0.14","0.14"
"968000","0.22","0.22","0.22"
"970000","0.2","0.2","0.2"
"972000","0.26","0.26","0.26"
"974000","0.3","0.3","0.3"
"976000","0.24","0.24","0.24"
"978000","0.2","0.2","0.2"
"980000","0.3","0.3","0.3"
"982000","0.22","0.22","0.22"
"984000","0.24","0.24","0.24"
"986000","0.16","0.16","0.16"
"988000","0.28","0.28","0.28"
"990000","0.16","0.16","0.16"
"992000","0.1","0.1","0.1"
"994000","0.24","0.24","0.24"
"996000","0.2","0.2","0.2"
"998000","0.26","0.26","0.26"
